STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR005882,"Eksport og teknologi, ing.prof.bach.",1901,01901 Basismat - Indledende matematik for diplomingeniører,EM,7-trinsskala,5.0,Afløsningsopgave,intern censur,2021-06-24
STNR005882,"Eksport og teknologi, ing.prof.bach.",62158,62158 Grundlæggende matematik 1,12,7-trinsskala,10.0,Afløsningsopgave,intern censur,2020-12-22
STNR005882,"Eksport og teknologi, ing.prof.bach.",62159,62159 Grundlæggende matematik 2,0,7-trinsskala,5.0,Afløsningsopgave,intern censur,2021-03-25
STNR005882,"Eksport og teknologi, ing.prof.bach.",62171,62171 Afsætningsøkonomi,7,7-trinsskala,5.0,Skriftlig,intern censur,2020-12-17
STNR005882,"Eksport og teknologi, ing.prof.bach.",62218,62218 Grundlæggende Naturvidenskab,12,7-trinsskala,5.0,Mundtlig,intern censur,2020-12-10
STNR005882,"Eksport og teknologi, ing.prof.bach.",62219,"62219 Miljø, kemi og produkter",EM,7-trinsskala,10.0,Afløsningsopgave,intern censur,2021-06-02
STNR005882,"Eksport og teknologi, ing.prof.bach.",62223,62223 Erhvervsøkonomi,EM,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2021-05-12
STNR005882,"Eksport og teknologi, ing.prof.bach.",62224,62224 Engelsk 1 - Amerikanske samfundsforhold og akademisk skrivning 1,BE,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2021-01-08
STNR005882,"Eksport og teknologi, ing.prof.bach.",62225,62225 Engelsk 2 - Amerikanske samfundsforhold og akademisk skrivning 2,EM,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2021-06-04
STNR005883,"Eksport og teknologi, ing.prof.bach.",1901,01901 Basismat - Indledende matematik for diplomingeniører,EM,7-trinsskala,5.0,Afløsningsopgave,intern censur,2019-06-20
STNR005883,"Eksport og teknologi, ing.prof.bach.",62158,62158 Grundlæggende matematik 1,EM,7-trinsskala,10.0,Afløsningsopgave,intern censur,2018-12-21
STNR005883,"Eksport og teknologi, ing.prof.bach.",62159,62159 Grundlæggende matematik 2,EM,7-trinsskala,5.0,Afløsningsopgave,intern censur,2019-02-21
STNR005883,"Eksport og teknologi, ing.prof.bach.",62171,62171 Afsætningsøkonomi,0,7-trinsskala,5.0,Skriftlig,intern censur,2018-12-17
STNR005883,"Eksport og teknologi, ing.prof.bach.",62218,62218 Grundlæggende Naturvidenskab,EM,7-trinsskala,5.0,Mundtlig,intern censur,2018-12-12
STNR005883,"Eksport og teknologi, ing.prof.bach.",62219,"62219 Miljø, kemi og produkter",IG,7-trinsskala,10.0,Afløsningsopgave,intern censur,2019-06-07
STNR005883,"Eksport og teknologi, ing.prof.bach.",62223,62223 Erhvervsøkonomi,EM,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2019-05-15
STNR005883,"Eksport og teknologi, ing.prof.bach.",62224,62224 Engelsk 1 - Amerikanske samfundsforhold og akademisk skrivning 1,BE,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2019-01-22
